epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,155.271,1.2906,2.54351,1.20039,0.87132,0.15459,0.19277,0.15073,1.11863,2.38137,1.11093,3.5152e-05,3.5152e-05,3.5152e-05
42,158.598,1.22949,2.44962,1.19212,0.86565,0.15682,0.20437,0.16075,1.12024,2.33018,1.10908,3.18058e-05,3.18058e-05,3.18058e-05
43,161.937,1.26828,2.46137,1.17771,0.88017,0.15565,0.20801,0.16317,1.11663,2.2862,1.10508,2.84596e-05,2.84596e-05,2.84596e-05
44,165.287,1.21004,2.48703,1.15866,0.87659,0.15543,0.20995,0.16396,1.11811,2.25808,1.10606,2.51134e-05,2.51134e-05,2.51134e-05
45,168.613,1.22136,2.36184,1.17081,0.87118,0.15767,0.20911,0.164,1.11723,2.24846,1.10533,2.17672e-05,2.17672e-05,2.17672e-05
46,172.971,1.23187,2.52719,1.18416,0.87261,0.15626,0.21076,0.16475,1.11505,2.23003,1.10454,1.8421e-05,1.8421e-05,1.8421e-05
47,176.248,1.22463,2.40844,1.17287,0.87182,0.15768,0.21136,0.16416,1.11638,2.21025,1.10627,1.50748e-05,1.50748e-05,1.50748e-05
48,179.542,1.20706,2.42315,1.17186,0.85398,0.15729,0.21254,0.16502,1.11806,2.20117,1.10722,1.17286e-05,1.17286e-05,1.17286e-05
49,183.016,1.2082,2.46931,1.16675,0.85351,0.15737,0.21227,0.16455,1.11663,2.1964,1.10578,8.3824e-06,8.3824e-06,8.3824e-06
50,186.309,1.15709,2.3729,1.15539,0.84943,0.15827,0.21255,0.16485,1.11413,2.18956,1.10404,5.0362e-06,5.0362e-06,5.0362e-06
