epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3941,1.30108,4.93432,1.29595,0,0,0,0,1.12425,4.94854,1.12483,1.014e-05,1.014e-05,1.014e-05
2,15.6471,1.33502,4.91493,1.28413,0,0,0,0,1.12296,4.93819,1.1215,2.1535e-05,2.1535e-05,2.1535e-05
3,18.8801,1.32536,4.8428,1.29611,0,0,0,0,1.12049,4.92364,1.11523,3.24615e-05,3.24615e-05,3.24615e-05
4,21.886,1.33132,4.78953,1.26476,0,0,0,0,1.13019,4.91024,1.11234,4.29196e-05,4.29196e-05,4.29196e-05
5,25.3416,1.32339,4.71872,1.25755,0,0,0,0,1.15145,4.88036,1.10976,5.29092e-05,5.29092e-05,5.29092e-05
6,28.3105,1.34767,4.61066,1.25545,0,0,0,0,1.16873,4.84471,1.11345,6.24303e-05,6.24303e-05,6.24303e-05
7,31.267,1.30528,4.45477,1.23861,0.03525,0.00468,0.02006,0.01801,1.18572,4.77297,1.1143,7.14829e-05,7.14829e-05,7.14829e-05
8,34.398,1.31256,4.38813,1.2401,0.02699,0.00832,0.01821,0.01557,1.19284,4.71744,1.11779,8.00671e-05,8.00671e-05,8.00671e-05
9,37.4508,1.34381,4.30873,1.25625,0.03832,0.02021,0.0299,0.02381,1.19813,4.58298,1.12138,8.81828e-05,8.81828e-05,8.81828e-05
10,40.6648,1.34693,4.17741,1.25293,0.02641,0.02962,0.02814,0.02165,1.21475,4.46141,1.12914,9.58301e-05,9.58301e-05,9.58301e-05
11,43.9105,1.36153,4.03136,1.27382,0.02192,0.03885,0.02949,0.02247,1.22625,4.33528,1.13851,0.000103009,0.000103009,0.000103009
12,48.3613,1.27779,3.88685,1.24525,0.02341,0.05031,0.03562,0.02755,1.21889,4.14085,1.14071,0.000109719,0.000109719,0.000109719
13,51.6019,1.31592,3.91596,1.23042,0.02947,0.05647,0.04284,0.03336,1.22062,4.08414,1.14442,0.000115961,0.000115961,0.000115961
14,54.839,1.36781,3.92698,1.2327,0.03003,0.07741,0.05164,0.03902,1.2181,3.98661,1.14917,0.000121734,0.000121734,0.000121734
15,58.2118,1.29448,3.74647,1.22681,0.72805,0.03479,0.06527,0.05041,1.21785,3.8951,1.15433,0.000122153,0.000122153,0.000122153
16,61.5266,1.31936,3.70609,1.24152,0.68636,0.03954,0.08037,0.06107,1.22377,3.82365,1.15874,0.000118807,0.000118807,0.000118807
17,64.893,1.34007,3.64574,1.22476,0.66283,0.0457,0.08089,0.06119,1.22361,3.79348,1.15822,0.000115461,0.000115461,0.000115461
18,68.3069,1.2799,3.47316,1.23141,0.73222,0.0428,0.08826,0.06594,1.21628,3.69517,1.1534,0.000112115,0.000112115,0.000112115
19,71.7539,1.30424,3.46125,1.19931,0.75896,0.05233,0.09376,0.06999,1.21193,3.60301,1.15147,0.000108768,0.000108768,0.000108768
20,75.0407,1.34136,3.4457,1.2344,0.73717,0.06127,0.09945,0.07375,1.20868,3.53106,1.15048,0.000105422,0.000105422,0.000105422
21,79.6275,1.30572,3.38791,1.2254,0.72424,0.06764,0.10139,0.07502,1.20502,3.48834,1.14847,0.000102076,0.000102076,0.000102076
22,82.8535,1.31296,3.2371,1.21824,0.74781,0.07802,0.10597,0.07886,1.20227,3.40568,1.14966,9.87298e-05,9.87298e-05,9.87298e-05
23,86.1632,1.3065,3.25631,1.24421,0.78938,0.0849,0.10974,0.08226,1.20974,3.32147,1.15119,9.53836e-05,9.53836e-05,9.53836e-05
24,89.6518,1.30052,3.22875,1.21479,0.81972,0.09337,0.11262,0.0843,1.20732,3.22511,1.14874,9.20374e-05,9.20374e-05,9.20374e-05
25,93.0553,1.33611,3.21464,1.20232,0.81999,0.0955,0.11511,0.08692,1.19917,3.17263,1.14627,8.86912e-05,8.86912e-05,8.86912e-05
26,96.3763,1.27646,3.15139,1.2251,0.78046,0.10363,0.12232,0.09212,1.17587,3.06472,1.13872,8.5345e-05,8.5345e-05,8.5345e-05
27,99.7791,1.27317,2.99446,1.21517,0.75505,0.11065,0.12539,0.09543,1.17568,2.95835,1.13614,8.19988e-05,8.19988e-05,8.19988e-05
28,103.113,1.25174,3.04215,1.22005,0.75556,0.11783,0.1334,0.10204,1.16275,2.86941,1.13066,7.86526e-05,7.86526e-05,7.86526e-05
29,106.391,1.24136,3.01822,1.20213,0.79552,0.12025,0.13633,0.10382,1.16074,2.83376,1.12988,7.53064e-05,7.53064e-05,7.53064e-05
30,109.762,1.28328,2.9682,1.21251,0.7994,0.12977,0.14682,0.11239,1.16228,2.74953,1.1316,7.19602e-05,7.19602e-05,7.19602e-05
31,114.548,1.28478,2.94344,1.20004,0.81075,0.13247,0.15146,0.11572,1.15976,2.69293,1.13034,6.8614e-05,6.8614e-05,6.8614e-05
32,117.895,1.31365,3.00053,1.22694,0.8178,0.14062,0.16141,0.12355,1.15701,2.63606,1.13012,6.52678e-05,6.52678e-05,6.52678e-05
33,121.298,1.27167,2.85686,1.23938,0.82149,0.14126,0.16267,0.12488,1.15804,2.61908,1.12988,6.19216e-05,6.19216e-05,6.19216e-05
34,124.586,1.23147,2.72036,1.17795,0.85939,0.13834,0.17031,0.13039,1.15084,2.5748,1.12664,5.85754e-05,5.85754e-05,5.85754e-05
35,127.787,1.21866,2.75705,1.19864,0.86022,0.1438,0.17617,0.13477,1.14949,2.54797,1.1258,5.52292e-05,5.52292e-05,5.52292e-05
36,131.039,1.26505,2.72733,1.20835,0.8662,0.14618,0.18824,0.14694,1.1419,2.51564,1.12354,5.1883e-05,5.1883e-05,5.1883e-05
37,134.252,1.21339,2.68266,1.20387,0.87013,0.14622,0.1894,0.14829,1.13821,2.50214,1.12225,4.85368e-05,4.85368e-05,4.85368e-05
38,137.654,1.21661,2.70514,1.20901,0.85354,0.14718,0.18323,0.14257,1.13117,2.47384,1.12016,4.51906e-05,4.51906e-05,4.51906e-05
39,140.906,1.21614,2.71309,1.20362,0.85334,0.14959,0.18652,0.14536,1.12414,2.4478,1.11662,4.18444e-05,4.18444e-05,4.18444e-05
40,144.08,1.26541,2.70862,1.20167,0.85177,0.15351,0.18974,0.14886,1.1173,2.41568,1.11501,3.84982e-05,3.84982e-05,3.84982e-05
41,149.501,1.2906,2.54351,1.20039,0.87132,0.15459,0.19277,0.15073,1.11863,2.38137,1.11093,3.5152e-05,3.5152e-05,3.5152e-05
42,152.821,1.22949,2.44962,1.19212,0.86565,0.15682,0.20437,0.16075,1.12024,2.33018,1.10908,3.18058e-05,3.18058e-05,3.18058e-05
43,156.059,1.26828,2.46137,1.17771,0.88017,0.15565,0.20801,0.16317,1.11663,2.2862,1.10508,2.84596e-05,2.84596e-05,2.84596e-05
44,159.317,1.21004,2.48703,1.15866,0.87659,0.15543,0.20995,0.16396,1.11811,2.25808,1.10606,2.51134e-05,2.51134e-05,2.51134e-05
45,162.471,1.22136,2.36184,1.17081,0.87118,0.15767,0.20911,0.164,1.11723,2.24846,1.10533,2.17672e-05,2.17672e-05,2.17672e-05
46,165.648,1.23187,2.52719,1.18416,0.87261,0.15626,0.21076,0.16475,1.11505,2.23003,1.10454,1.8421e-05,1.8421e-05,1.8421e-05
47,168.847,1.22463,2.40844,1.17287,0.87182,0.15768,0.21136,0.16416,1.11638,2.21025,1.10627,1.50748e-05,1.50748e-05,1.50748e-05
48,171.962,1.20706,2.42315,1.17186,0.85398,0.15729,0.21254,0.16502,1.11806,2.20117,1.10722,1.17286e-05,1.17286e-05,1.17286e-05
49,175.156,1.2082,2.46931,1.16675,0.85351,0.15737,0.21227,0.16455,1.11663,2.1964,1.10578,8.3824e-06,8.3824e-06,8.3824e-06
50,179.568,1.15709,2.3729,1.15539,0.84943,0.15827,0.21255,0.16485,1.11413,2.18956,1.10404,5.0362e-06,5.0362e-06,5.0362e-06
